Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
pediatrician allergist,1,1,3.43,0.0,0.0,1.0,3.43,,Leads-Search-1,Pediatrics,holistic pediatricians near me,broad,None,1
naturopathic pediatrician near me,7,3,3.4205,0.0,0.0,0.4286,1.1402,,Leads-Search-1,Ad group 1 | Pediatrics,holistic dr near me | holistic pediatricians near me | pediatric holistic doctor near me,exact (close variant) | phrase (close variant),None,3
homeopathic psychiatrist,1,1,3.3425,0.0,0.0,1.0,3.3425,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
family doctor minneapolis,3,1,3.3406,0.0,0.0,0.3333,3.3406,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine doctors near me | natural medicine Minnesota,broad,None,2
eastern medicine near me,3,1,3.26,0.0,0.0,0.3333,3.26,,Leads-Search-1,Ad group 1,naturopathic dr near me,broad,None,1
functional medicine nutritionist near me,4,1,3.26,0.0,0.0,0.25,3.26,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | phrase (close variant),None,3
natural ob gyn near me,2,1,3.26,0.0,0.0,0.5,3.26,,Leads-Search-1,Ad group 1,integrative medicine near me,phrase (close variant),None,1
finding a doctor near me,1,2,3.2497,0.0,0.0,2.0,1.6248,,Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors in my area,broad,None,1
be well natural medicine,15,1,3.23,0.0,0.0,0.0667,3.23,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,holistic dr near me | integrative medicine near me | natural functional doctor | natural pediatrician near me | naturalist dr near me | naturopathic doctor near me,broad,Excluded,7
functional doctor,18,1,3.22,1.0,1.0,0.0556,3.22,3.22,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor | functional medicine | functional medicine near me | holistic dr near me | integrative health near me | integrative medicine near me | natural functional doctor | natural medicine Minnesota | naturopathic doctor Minneapolis | naturopathic doctor near me,broad | exact | exact (close variant) | phrase (close variant),None,10
functional medicine doctor edina,9,1,3.21,1.0,1.0,0.1111,3.21,3.21,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional integrative medicine near me | functional medicine doctor edina | functional medicine doctors in my area | holistic dr near me | integrative medicine near me | natural pediatrician near me,broad | exact,Added | None,6
naturopathic doctor mn,7,1,3.2,0.0,0.0,0.1429,3.2,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,alternative medicine near me | holistic dr near me | naturopathic doctor Minneapolis,broad | exact (close variant),None,3
holistic obgyn,3,1,3.2,2.0,2.0,0.3333,3.2,1.6,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | women's health naturopath,broad,None,2
natural healing near me,2,1,3.19,0.0,0.0,0.5,3.19,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine doctors near me | holistic dr near me,broad | exact (close variant),None,2
find a holistic doctor near me,2,1,3.18,0.0,0.0,0.5,3.18,,Leads-Search-1,Naturopath Near Me — Core,natural doctor near me,exact (close variant),None,1
costco fertility program,3,1,3.11,0.0,0.0,0.3333,3.11,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me | naturopath for fertility,broad,None,2
acupuncture treatment near me,1,1,3.09,0.0,0.0,1.0,3.09,,Leads-Search-1,Ad group 1,men's health naturopath,broad,None,1
dr dan mcdonald albertville mn,1,1,3.07,0.0,0.0,1.0,3.07,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
most effective ed treatment,2,1,3.06,0.0,0.0,0.5,3.06,,Leads-Search-1,Men's Health,naturopath for men,broad,None,1
acupuncture chaska,1,1,3.0489,0.0,0.0,1.0,3.0489,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
ayurveda near me,2,1,3.01,0.0,0.0,0.5,3.01,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad,None,2
brooklyn park health partners,1,1,3.0,0.0,0.0,1.0,3.0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
best functional medicine doctors near me,25,1,2.99,0.0,0.0,0.04,2.99,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | functional medicine | functional medicine doctors near me | functional medicine near me | holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad | exact (close variant) | phrase,None,7
hashimotos specialists near me,2,1,2.9851,0.0,0.0,0.5,2.9851,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
holistic endometriosis specialist near me,2,1,2.95,0.0,0.0,0.5,2.95,,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
severe daytime sleepiness,9,3,2.935,2.0,130.0,0.3333,0.9783,1.4675,Leads-Search-1,Men's Health,adrenal fatigue doctor near me,broad,None,1
naturopathic clinic near me,4,1,2.93,0.0,0.0,0.25,2.93,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,integrative medicine near me | naturopathic doctor near me,exact (close variant) | phrase (close variant),None,2
obgyns near me,2,1,2.93,0.0,0.0,0.5,2.93,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's hormone specialist near me,broad,None,2
alternative medicine near me,9,2,2.93,0.0,0.0,0.2222,1.465,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine doctors near me | alternative medicine near me | functional medicine doctors near me | holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad | exact | exact (close variant),Added | None,7
perimenopause specialist near me,14,1,2.91,0.0,0.0,0.0714,2.91,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,female naturopath | fertility naturopath near me | holistic dr near me | hormone doctor near me | integrative medicine near me | naturopath for hormone imbalance | naturopath for hormones | naturopathic doctor Minneapolis | perimenopause doctor near me | women's health naturopath | women's hormone specialist near me,broad | exact (close variant) | phrase (close variant),None,11
ago mom natural pregnancy stories,1,1,2.91,0.0,0.0,1.0,2.91,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
dr heather stone diet,1,1,2.91,0.0,0.0,1.0,2.91,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
endometriosis doctor near me,2,1,2.91,0.0,0.0,0.5,2.91,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | women's health naturopath,broad,None,2
pcos doctors near me,3,1,2.91,0.0,0.0,0.3333,2.91,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance | pcos specialist near me | women's health naturopath,broad | exact (close variant),None,3
weight gain and hormone replacement therapy,1,1,2.91,0.0,0.0,1.0,2.91,,Leads-Search-1,Women's Health & Hormones,functional medicine hormones,broad,None,1
dutch complete,1,1,2.9,0.0,0.0,1.0,2.9,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
menopause experts near me,1,1,2.9,0.0,0.0,1.0,2.9,,Leads-Search-1,Women's Health & Hormones,perimenopause doctor near me,exact (close variant),None,1
menopause specialist near me,36,1,2.89,0.0,0.0,0.0278,2.89,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core | Women's Health & Hormones,female naturopath | female naturopath near me | functional medicine for hormones | holistic dr near me | hormone doctor near me | integrative medicine near me | natural help for menopause | naturopath for fertility | naturopath for hormone imbalance | naturopath for hormones | naturopath for menopause | naturopathic doctor near me | naturopaths in my area | perimenopause doctor near me | women's health naturopath,broad | exact (close variant) | phrase (close variant),None,15
menopause symptoms,15,1,2.88,0.0,0.0,0.0667,2.88,,Leads-Search-1,Women's Health & Hormones,female naturopath | hormone doctor near me | natural help for menopause | women's health naturopath | women's hormone specialist near me,broad,None,5
hormonal doctor,3,1,2.88,0.0,0.0,0.3333,2.88,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,exact (close variant),None,1
women's clinic near me,8,1,2.88,1.0,0.0,0.125,2.88,2.88,Leads-Search-1,Women's Health & Hormones,female naturopath near me | fertility naturopath near me | hormone doctor near me | naturopath for hormones | women's health naturopath | women's hormone specialist near me,broad,None,6
fertility clinic minneapolis,2,1,2.88,0.0,0.0,0.5,2.88,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's hormone specialist near me,broad,None,2
functional medicine doctors minneapolis,4,1,2.87,0.0,0.0,0.25,2.87,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional integrative medicine near me | functional medicine | integrative medicine near me,broad | phrase,None,3
thyroid symptoms,4,1,2.87,0.0,0.0,0.25,2.87,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath | naturopath for hormone imbalance | naturopath for hormones,broad,None,3
hormone balance diet,1,1,2.86,0.0,0.0,1.0,2.86,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
how do you treat perimenopause,1,1,2.85,0.0,0.0,1.0,2.85,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
women clinic near me,2,1,2.85,0.0,0.0,0.5,2.85,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance | women's hormone specialist near me,broad,None,2
homeopathic medicine near me,16,2,2.8462,0.0,0.0,0.125,1.4231,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
functional health near me,4,1,2.84,0.0,0.0,0.25,2.84,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,integrative medicine near me | naturopathic doctor near me | naturopathic dr near me,broad | phrase (close variant),None,3
holistic women's health near me,10,1,2.83,0.0,0.0,0.1,2.83,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | natural help for menopause | naturopathic doctor near me,broad | phrase (close variant),None,3
thyroid specialist minnesota,2,1,2.83,0.0,0.0,0.5,2.83,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
medicine for pcos,1,1,2.82,0.0,0.0,1.0,2.82,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
what do i take to balance my hormones,1,1,2.82,0.0,0.0,1.0,2.82,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
naturopathic doctors in minnesota,5,2,2.81,1.0,1.0,0.4,1.405,2.81,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medical physician | holistic dr near me | naturopathic doctor Minneapolis,broad | exact (close variant),None,4
symptoms of perimenopause and menopause,1,1,2.81,0.0,0.0,1.0,2.81,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
holistic nutritionist minneapolis,3,1,2.8024,0.0,0.0,0.3333,2.8024,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
hot flashes at night,2,1,2.8,0.0,0.0,0.5,2.8,,Leads-Search-1,Women's Health & Hormones,female naturopath | functional medicine for hormones,broad,None,2
m health women's clinic edina,1,1,2.8,0.0,0.0,1.0,2.8,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
health partners naturopath,4,1,2.79,0.0,0.0,0.25,2.79,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor near me,broad,None,2
holistic fertility doctor near me,9,1,2.78,1.0,1.0,0.1111,2.78,2.78,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
naturopaths minneapolis,6,1,2.78,0.0,0.0,0.1667,2.78,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,integrative medicine near me | naturopathic doctor Minneapolis,broad | exact (close variant),None,2
pcos specialist mn,3,1,2.78,0.0,0.0,0.3333,2.78,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | women's health naturopath,broad,None,2
hashimoto's,2,1,2.78,0.0,0.0,0.5,2.78,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | naturopath for hormone imbalance,broad,None,2
functional medicine doctor woodbury,5,1,2.7783,0.0,0.0,0.2,2.7783,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor near me,broad,None,2
functional medicine doctor st paul,4,2,2.7641,0.0,0.0,0.5,1.3821,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine | functional medicine practitioner | holistic dr near me | natural pediatrician near me,broad | phrase | phrase (close variant),None,4
homeopathy minneapolis,4,1,2.7577,0.0,0.0,0.25,2.7577,,Leads-Search-1,Ad group 1,integrative medicine near me | natural pediatrician near me,broad,None,2
